Company,Domain,Total Employees,US Employees,Non-US Employees,Non-US Breakdown
Jio,jio.com,2,0,2,India: 2
Dr. Storm Advisory GmbH,drstorm.de,2,0,2,"Germany: 1, Region Stuttgart: 1"
Honasa Consumer Ltd.,honasa.in,2,0,2,India: 2
MARAKEZ,marakez.net,2,0,2,"Egypt: 1, القاهرة مصر: 1"
Visa,visa.com,3,1,2,"India: 1, Singapore: 1"
GrayCyan AI Consultants & Developers,graycyan.ai,2,0,2,India: 2
Matt Barker,ck.page,2,0,2,"Canada: 1, United Kingdom: 1"
McLaren Racing,mclaren.com,2,0,2,United Kingdom: 2
EXL,exlservice.com,2,0,2,India: 2
Brunel,brunel.net,2,0,2,United Arab Emirates: 2
Cloudflare,cloudflare.com,2,0,2,"España: 1, United Kingdom: 1"
"Agency, Inc.",udemy.com,3,1,2,"United Kingdom: 1, Portugal: 1"
AI For Leaders,aiforleaders.com,2,0,2,United Kingdom: 2
KEC International Ltd.,kecrpg.com,2,0,2,India: 2
ServiceNow,servicenow.com,5,3,2,"India: 1, Germany: 1"
Cadila Pharmaceuticals Limited,cadilapharma.com,2,0,2,India: 2
SAP,sap.com,2,0,2,"Germany: 1, India: 1"
Lenovo,lenovo.com,2,0,2,"China: 1, Egypt: 1"
GenAI Works,genai.works,2,0,2,"Australia: 1, Switzerland: 1"
Tata Group,tata.com,2,0,2,India: 2
XP Inc.,xpinc.com,2,0,2,Brazil: 2
UOL,uol.com.br,2,0,2,Brazil: 2
Ghent University,ugent.be,2,0,2,Belgium: 2
OpenAI,openai.com,5,3,2,India: 2
Vodafone,vodafone.com,2,0,2,"Romania: 1, Turkey: 1"
CNN,cnn.com,2,0,2,"Hong Kong SAR: 1, Kenya: 1"
PT Salam Pacific Indonesia Lines,spil.co.id,2,0,2,Indonesia: 2
Infosys,infosys.com,2,0,2,India: 2
Zepto,zeptonow.com,2,0,2,India: 2
HKU Business School,hku.hk,2,0,2,"China: 1, Hong Kong SAR: 1"
Uber,uber.com,3,1,2,India: 2
UPGRADE TI - Soluções em TI para Empresas,upgradeti.com.br,2,0,2,"Brasil: 1, Brazil: 1"
Hilton Dubai Creek Hotel & Residences,hilton.com,3,1,2,"India: 1, United Arab Emirates: 1"
Sanofi,sanofi.com,2,0,2,"China: 1, France: 1"
Elevarum,carolinamartins.com.br,2,0,2,"Brazil: 1, Vietnam: 1"
Dicetek LLC,dicetek.net,2,0,2,United Arab Emirates: 2
BlackRock,blackrock.com,4,2,2,"United Kingdom: 1, India: 1"
Prêmio iBest,premioibest.com,2,0,2,Brazil: 2
Amali Properties,amaliproperties.com,2,0,2,United Arab Emirates: 2
CODELCO – Corporación Nacional del Cobre de Chile,codelco.com,2,0,2,Chile: 2
NMC Healthcare,nmc.ae,2,0,2,United Arab Emirates: 2
Zerodha,zerodha.com,2,0,2,India: 2
JPMorganChase,jpmorganchase.com,5,3,2,India: 2
iFood Benefícios,ifood.com.br,2,0,2,Brazil: 2
Atacadão,atacadao.com.br,2,0,2,Brazil: 2
Chalhoub Group,chalhoubgroup.com,2,0,2,"United Arab Emirates: 1, Jordan: 1"
Non Stop Produções,nonstopproducoes.com.br,2,0,2,Brazil: 2
BB Virtuals,bbvirtuals.com,2,0,2,India: 2
Zentek Infosoft,zentekinfosoft.com,2,0,2,India: 2
Worley,worley.com,2,0,2,"Peru: 1, India: 1"
The HEINEKEN Company,theheinekencompany.com,2,0,2,"Brazil: 1, Nederland: 1"
Conecta Capital Humano,conectacapitalhumano.com,2,0,2,Brazil: 2
V8.TECH,v8.tech,2,0,2,Brazil: 2
"LinkCvRight - CV, LinkedIn, Resume & Career Tips By Smriti Gupta",linkcvright.net,2,0,2,India: 2
PT Danamas Insan Kreasi Andalan (DIKA),ptdika.com,2,0,2,Indonesia: 2
Grupo Cimed,grupocimed.com.br,2,0,2,Brazil: 2
Dubai Holding,dubaiholding.com,2,0,2,United Arab Emirates: 2
UAE Federal Government,xrg.com,2,0,2,"United Kingdom: 1, United Arab Emirates: 1"
Fazzilet Consultancy Services,farazanis.in,2,0,2,India: 2
سكوب للتدريب و تنمية الموارد البشرية Scope for Training & HRD,scopehrd.org,2,0,2,"Saudi Arabia: 1, Riyadh Region: 1"
Assaí Atacadista,assai.com.br,2,0,2,Brazil: 2
NetApp,netapp.com,2,0,2,India: 2
Harita Group,bumitama-agri.com,2,0,2,Indonesia: 2
Google DeepMind,deepmind.google,2,0,2,"United Kingdom: 1, Germany: 1"
Futureland Analytics,futurelandanalytics.com,2,0,2,United Kingdom: 2
Nestlé,nestle.com,2,0,2,"Brasil: 1, Spain: 1"
Adobe,adobe.com,2,0,2,India: 2
fäm Properties Dubai,famproperties.com,2,0,2,United Arab Emirates: 2
Meesho,meesho.io,2,0,2,India: 2
MasterClass,masterclass.com,3,1,2,"Canada: 1, San Francisco Bay Area: 1"
Tata Technologies,tatatechnologies.com,2,0,2,India: 2
Department of Science & Technology,iitb.ac.in,2,0,2,India: 2
IBGC - Instituto Brasileiro de Governança Corporativa,ibgc.org.br,2,0,2,Brazil: 2
Larsen & Toubro,larsentoubro.com,2,0,2,"India: 1, United Arab Emirates: 1"
JioHotstar,hotstar.com,2,0,2,India: 2
Torrent Pharmaceuticals Ltd,torrentpharma.com,2,0,2,India: 2
Mercado Livre Brasil,mercadolivre.com,2,0,2,Brazil: 2
Forbes Coaches Council,forbescoachescouncil.com,2,0,2,"Australia: 1, Colombia: 1"
EVA pharma,evapharma.com,2,0,2,Egypt: 2
Miral,miral.ae,2,0,2,United Arab Emirates: 2
Launchpad Creators,launchpadcreators.com,2,0,2,United Kingdom: 2
Indman,indman.com,2,0,2,"India: 1, United Arab Emirates: 1"
PT Cus Todia Bali,tiktok.com,2,0,2,"France: 1, Indonesia: 1"
TASC Outsourcing,tascoutsourcing.com,2,0,2,"United Arab Emirates: 1, India: 1"
HUMAIN,humain.com,2,0,2,"Saudi Arabia: 1, الرياض السعودية: 1"
Arna Softech,arnasoftech.com,2,0,2,India: 2
NRC,nrc.nl,2,0,2,Netherlands: 2
Imperial Business School,imperial.ac.uk,2,0,2,United Kingdom: 2
Akka Spain,akka.app,2,0,2,"Italy: 1, Spain: 1"
Godrej Properties Limited,godrejproperties.com,2,0,2,"India: 1, Mumbai Metropolitan Region: 1"
Michael Page,michaelpage.com,2,0,2,"Brazil: 1, Chile: 1"
Hospital Moriah,hospitalmoriah.com.br,2,0,2,Brazil: 2
AKDITAL,akdital.ma,2,0,2,Morocco: 2
Reliance Brands Limited,rblcareers.in,2,0,2,India: 2
Al-Futtaim,alfuttaim.com,2,0,2,United Arab Emirates: 2
Mountain View,mountainviewegypt.com,2,0,2,Egypt: 2
Arab MLS,arabmls.org,2,0,2,"Egypt: 1, القاهرة مصر: 1"
CIB Egypt,cibeg.com,2,0,2,"Egypt: 1, القاهرة مصر: 1"
National Bank of Egypt (NBE),nbe.com.eg,2,0,2,Egypt: 2
PT Merdeka Copper Gold Tbk,merdekacoppergold.com,2,0,2,Indonesia: 2
BT Group,bt.com,2,0,2,India: 2
Hombre holístico,planeta.es,2,0,2,Spain: 2
G Developments,thegdevelopments.com,2,0,2,Egypt: 2
ABB,social.abb,2,0,2,"India: 1, Czechia: 1"
Printemps Doha,printemps.com,2,0,2,Qatar: 2
Grupo Arcor,arcor.com,2,0,2,Argentina: 2
Nextbridge Ltd.,nextbridge.com,2,0,2,"United Kingdom: 1, Pakistan: 1"
Grupo Boticário,grupoboticario.com.br,2,0,2,Brazil: 2
Ditto Insurance,ditto.sh,2,0,2,India: 2
International Energy Agency (IEA),iea.org,2,0,2,France: 2
Tecnológico de Monterrey,tec.mx,2,0,2,"Mexico: 1, France: 1"
MANKIND PHARMA LTD,mankindpharma.com,2,0,2,India: 2
