name,domain,country,city,industry,estimated_num_employees,linkedin_url,keywords
BITS Goa Consulting Club (BGCC),bgccbitsgoa.com,India,Mormugao,,,http://www.linkedin.com/company/bits-goa-consulting-club,
Makenoise,makenoise.com,Spain,Madrid,,,http://www.linkedin.com/company/makenoise,
Continuum Media L.L.C-FZ,continuummedia.me,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/the-continuum-media,
Hyperiser,hyperiser.com,Turkey,Istanbul,,,http://www.linkedin.com/company/hyperiser,
Infleux,infleux.co,Brazil,Barueri,,,http://www.linkedin.com/company/infleux,
Brandwatch,crimsonhexagon.com,United Kingdom,London,,,http://www.linkedin.com/company/brandwatch,
Greenlight,bravebison.com,United Kingdom,,,,http://www.linkedin.com/company/brave-bison,
Pretty Little Marketer,prettylittlemarketer.com,United Kingdom,London,,,http://www.linkedin.com/company/prettylittlemarketer,
Favola,favola.co.uk,United Kingdom,London,,,http://www.linkedin.com/company/favolaagency,
Mobile Streams PLC,mobilestreams.com,United Kingdom,London,,,http://www.linkedin.com/company/mobile-streams,
Cision UK,cision.co.uk,United Kingdom,London,,,http://www.linkedin.com/company/cision-uk,
We Are Hydrogen,wearehydrogen.com,United Kingdom,Glasgow,,,http://www.linkedin.com/company/wearehydrogen,
OST,ostmarketing.com,United Kingdom,Cambridge,,,http://www.linkedin.com/company/10804189,
Dizplai,dizplai.com,United Kingdom,Manchester,,,http://www.linkedin.com/company/dizplai,
Openstage,openstage.live,United Kingdom,London,,,http://www.linkedin.com/company/openstagelive,
socialed.,socialedagency.com,United Kingdom,,,,http://www.linkedin.com/company/socialedagency,
Antler Social,antlersocial.com,United Kingdom,London,,,http://www.linkedin.com/company/antlersocial,
Blue Robot,bluerobot.com,United Kingdom,,,,http://www.linkedin.com/company/blue-robot,
The Hook,bravebison.io,United Kingdom,,,,http://www.linkedin.com/company/brave-bison,
Part Three Digital,partthreedigital.com,United Kingdom,Belfast,,,http://www.linkedin.com/company/part-three-digital,
Rising Ballers,risingballers.co,United Kingdom,,,,http://www.linkedin.com/company/risingballers,
Converge Technology Solutions UK,convergetp.co.uk,United Kingdom,Stafford,,,http://www.linkedin.com/company/convergetechnologysolutionsuk,
Onyx Commerce,onyxco.io,United Kingdom,London,,,http://www.linkedin.com/company/onyxsocialcommerce,
Convosphere,convosphere.com,United Kingdom,London,,,http://www.linkedin.com/company/convosphere-limited,
SMMS (Social Media Makes Sense),socialmediamakessense.co.uk,United Kingdom,Mottram in Longdendale,,,http://www.linkedin.com/company/smmsguru,
PUBLC,publc.com,United Kingdom,London,,,http://www.linkedin.com/company/publc,
Zebr,zebr.app,United Kingdom,,,,http://www.linkedin.com/company/zebrcompany,
Overton,overton.io,United Kingdom,London,,,http://www.linkedin.com/company/openpolicy,
agency2,agency2.co.uk,United Kingdom,London,,,http://www.linkedin.com/company/agency2,
OnSocial,onsocial.agency,United Kingdom,London,,,http://www.linkedin.com/company/onsocialagency,
Go Instore (Now Emplifi),goinstore.com,United Kingdom,London,,,http://www.linkedin.com/company/goinstore,
1-888-ECHO,1-888-echo.ooo,United Kingdom,Stony Stratford,,,http://www.linkedin.com/company/1-888-echo,
Our Brand Social Ltd,ourbrandsocial.com,United Kingdom,London,,,http://www.linkedin.com/company/on-brand-social-ltd,
Capture Intelligence,captureintelligence.com,United Kingdom,London,,,http://www.linkedin.com/company/capture-intelligence,
Zingshare,sharewithmarvin.io,United Kingdom,Spalding,,,http://www.linkedin.com/company/zingshare,
The Media Eye,themediaeye.com,United Kingdom,London,,,http://www.linkedin.com/company/the-media-eye,
BBL/P,bblandpartners.com,United Kingdom,London,,,http://www.linkedin.com/company/bbl-p,
Don't Buy Media,dontbuymedia.com,United Kingdom,London,,,http://www.linkedin.com/company/dont-buy-media,
GT | Greentarget UK,greentarget.co.uk,United Kingdom,London,,,http://www.linkedin.com/company/gt-greentarget-uk-pr-agency,
Formula Media,formulamedia.com,United Kingdom,London,,,http://www.linkedin.com/company/formula-media,
RODEN,roden.agency,United Kingdom,London,,,http://www.linkedin.com/company/rodenagency,
inLinx Ltd,inlinx.com,United Kingdom,London,,,http://www.linkedin.com/company/inlinx-limited,
Mawave Marketing GmbH,mawave.de,Germany,Munich,,,http://www.linkedin.com/company/mawave-marketing,
Facelift,facelift-bbt.com,Germany,Hamburg,,,http://www.linkedin.com/company/facelift-brand-building-technologies-gmbh,
buddybrand GmbH,buddybrand.com,Germany,,,,http://www.linkedin.com/company/buddybrand,
PlayTheHype,playthehype.com,Germany,Berlin,,,http://www.linkedin.com/company/playthehype,
Labs Management,labs.management,Germany,,,,http://www.linkedin.com/company/labsmanagement,
von Fred,von-fred.de,Germany,Hamburg,,,http://www.linkedin.com/company/von-fred,
social media agentur famefact | track by track GmbH,famefact.com,Germany,Berlin,,,http://www.linkedin.com/company/famefact,
LILL Social Media Kontor,lill.social,Germany,Hamburg,,,http://www.linkedin.com/company/lill-social-media-content-creation,
ringlights GmbH,ringlights.de,Germany,Cologne,,,http://www.linkedin.com/company/ringlights,
eyva.ai,eyva.ai,Germany,Cologne,,,http://www.linkedin.com/company/eyva-ai,
comdaily,comdaily.ai,Germany,Koeln,,,http://www.linkedin.com/company/comdailyai,
Social Attention GmbH,socialattention.de,Germany,Duesseldorf,,,http://www.linkedin.com/company/social-attention,
Playful Media,playfulmedia.de,Germany,Berlin,,,http://www.linkedin.com/company/playful-media,
promoplug,promoplug.de,Germany,,,,http://www.linkedin.com/company/promoplug,
Super Spa,superspa.de,Germany,Hamburg,,,http://www.linkedin.com/company/superspa,
We Influence People,weinfluencepeople.com,Germany,Berlin,,,http://www.linkedin.com/company/we-influence-people,
BURmedia Agency,bur-media.com,Germany,Berlin,,,http://www.linkedin.com/company/bur-media-online-marketing-agentur,
Meershare GmbH,meershare.de,Germany,,,,http://www.linkedin.com/company/meershare,
